index,text,gold_label,model_label,raw_output,correct,latency_s
11,虽然我住的是豪华房，但是房间的设施还是显得有些陈旧。早点并不是非常的丰富，不过我想对于在四星饭店里的50元钱的早点，可能是我要求过高了。不过这个酒店的门脸可这是够背的。藏在了一个小胡同里面。不过还好出租车司机都知道。,正面,负面,"{""label"": ""负面""}",False,2.77
12,"It's not as interesting as I expected.Maybe for the child, it is much more suitable.In fact, there are not a lot of useful tips in the book.A lot of mistakes listed by the writer is related with wrong spelling.To me,it's not really funny.",负面,负面,"{""label"": ""负面""}",True,2.48
13,介绍给同事，帮同事代买的，还是非常喜欢。,正面,正面,"{""label"": ""正面""}",True,1.84
14,入住11楼大床房，一出电梯就有明显的地毯散发的霉味；房间的窗子不能打开，即便这样，也有蚊子存在。最恐怖的是有灵异事件。入住2晚，第一天平安无事；第二天，凌晨3点，被“滴”“滴”的声音吵醒，一看房间的台式机电脑自动启动了，之后读光盘，失败，就滴一声。过去按电源键，怎么也关不上电脑，只好拔电源。可是，我都是用自己的笔记本，这台式机从来没碰过。实在是不会再去住的酒店。,负面,负面,"{""label"": ""负面""}",True,3.54
15,"服务极差,价格高,地点环境偏,房间条件能有一星..",负面,负面,"{""label"": ""负面""}",True,2.36
16,这书也能推荐？重点几乎都在为自己说好话树立好形象以及就关于某场官司的自辩上了，有钱就是好，还能出本这样的书～,负面,正面,"{""label"": ""正面""}",False,2.72
17,隔音很差，交通尚可，设施较陈旧，总体感觉不像三星的酒店。,负面,负面,"{""label"": ""负面""}",True,2.38
18,装系统对新手来说太麻烦了，弄了两天，拥有新笔记本的喜悦都没有了！希望京东能有这方面的服务！,负面,负面,"{""label"": ""负面""}",True,2.5
19,XP声卡驱动是大问题 4799买的，啥也没送，现在4599还送大礼包，感觉好亏,负面,负面,"{""label"": ""负面""}",True,2.62
20,去住的话最好是住朝向大院的房间，因为酒店后面有中央空调的一些设备，晚上响起来的话影响休息的。 早餐很一般，没甚么好吃的东西。酒店旁边有条小路，那里有几家实惠的小饭店，比如私家菜甚么的。 总的来说，出差宜兴，国际饭店还是第一选择。,正面,负面,"{""label"": ""负面""}",False,3.35
21,书是给我两岁三个月的宝贝女儿买的，她对此书没有一点兴趣。九岁的儿子也就随便翻了翻。他平时很喜欢看不同的书的。,负面,负面,"{""label"": ""负面""}",True,2.58
22,我不太敢相信自己的眼睛，这叫四星级！？我将镜头从卫生间地面上的一根卷曲的毛发摇到斑驳的电视机前（注意是“摇”，不是“跟”哦！），妄图找到理由，未果！后来费了半天的劲打开了窗子，看到了貌似繁荣中央大街一角，我恍然大悟，原来这里的卖点不是硬件和软件，而是附件！“借鸡生蛋”的典故不住的从脑袋里冒出……我觉得这样的价格住华旗或者福顺天天更好。由于郁闷，住上一晚就走了，不知道早餐怎么样，其他方面也不太清楚，整体感觉暗暗的、旧旧的。推荐企图忆苦思甜、加强爱国主义教育的朋友来住！,负面,负面,"{""label"": ""负面""}",True,4.86
23,我的家人都很喜欢，这本书买对了。呵呵，欢迎同好与我再交流，toryhellen@sina.com.,正面,正面,"{""label"": ""正面""}",True,2.61
24,赞美女人，从来都是以贤妻良母为标准的。似乎女人的一生只应该是奉献自己。一辈子做女孩，教你寻找女人的快乐，教女人以新的观点选择自己的生活方式。此书语言及思想的转变过程，信仰的寻找过程，毫无吸引我之处。吸引我的是结果。或者说最终的观点。 这是个个性化的年代，生活方式从来都不只限一种。选择你自己最乐意的！当然，经济不独立的人，就缺乏独立的人格。切记切记。。。,正面,负面,"{""label"": ""负面""}",False,3.89
25,ThinkPad的品牌，相当的值得购买；轻薄、性能优越；送货相当快啊，晚上10点下单，第二天下午3点就到了，京东的服务还是不错的，表扬一下。,正面,正面,"{""label"": ""正面""}",True,2.67
26,"于丹的<<论语心得>>简直就是胡说八道。除了《论语》之外,她讲的全都对!她的演讲对于构建和谐社会很有好处，却歪曲了孔子的基本精神。这本书叫《于丹心得》更准确一些。",负面,负面,"{""label"": ""负面""}",True,3.0
27,我本人很喜欢那个年代的故事，尽管那时的背景晦暗，那时多数人的经历都曲折，但我依然喜欢，喜欢那种被动容的感觉。这本书是前两年看的，但内容到现在我还记忆犹新。我喜欢余华的写作风格，他在书中非常隐晦的讽刺了那个年代的人和事。这本书好像电影胶片一样，看着文字我就可以想象出当年那种情节，想到宋凡平的伟岸，宋刚的懦弱，李光头的不驯，总之里面的情节好像电影版在脑海中演绎着，感觉很过瘾。,正面,正面,"{""label"": ""正面""}",True,4.17
28,看完第一部升职记后，立刻就买了续集。只看了几十页，还没有看完。我很喜欢作者作为白领的那种职业性的语言；人与人交往的那种细微感受和心里活动。虽然我不是外企白领，但完全能感受到那个工作圈子的人际交际，工作氛围，我将之作为一种新的人生体验来读。作者不是一个地道的作家，故事没有那多的戏剧性，但是她对自己工作圈子的细微感受，和很强在表达能力，确实产生了一种体验性的阅读效果。推荐一下。,正面,正面,"{""label"": ""正面""}",True,4.0
29,看这本书有种感觉就是作者在苦口婆心的告戒读者如何如何，为了证明她说的是对的，然后举一堆自己身边女性的例子来自圆其说。内容很空洞，说话很苍白无力。感觉没什么深度，我比较后悔买了这本书，不会再看第2次了。,负面,负面,"{""label"": ""负面""}",True,3.12
30,看了当当的推荐和网评，于是下决心买来看看，看过后发现并没有想象中的那么有趣，有时还觉得很幼稚，不知道我他真的不令我满意还是我不懂韩国式的幽默！,负面,负面,"{""label"": ""负面""}",True,2.84
31,还没有发现什么不足.还没有发现什么不足.还没有发现什么不足.还没有发现什么不足.,负面,正面,"{""label"": ""正面""}",False,2.39
32,硬盘到手就发现一个坏块，因为是完美屏，没回京东换新，花了两天在本地换新硬盘，发票都不需要；电池衔接很松，可有1mm间隙；出厂时A、B面贴的保护膜太敷衍，太多气泡，虽然反正要撕掉，但说明厂家态度不严谨。,负面,负面,"{""label"": ""负面""}",True,3.3
33,上网，跑word，用java都还不错，关键是待机时间长，第一次就有7小时以上,正面,负面,"{""label"": ""负面""}",False,2.49
34,除了苹果，就喜欢ThinkPad的设计了。 经典的外观，性价比不错，各方面的配置也比较均衡。最喜欢的是自带摄像头。同事是个比较粗心的人，用小黑这种任劳任怨的机器没的挑了呵呵。,正面,正面,"{""label"": ""正面""}",True,3.02
35,1：外观不错，很适合MM用。 2：性价比高，该有的功能都有了，因为我是3699购买的，呵呵。 3：完美屏，反应速度很快，机器整体功能还在测试。 4：顺带着说一下京东为什么要选择邮政物流呢？广州到深圳，第一次订单托了4天没到手，等到的是降价300。高兴啊，立刻取消订单，重新再定，自提。,正面,正面,"{""label"": ""正面""}",True,3.82
36,1.虽然小，但是我这个大手用起来还行，键盘的手感可以媲美IBM了。 2.电池真的很猛，做工非常棒，发热控制得也非常好。,正面,正面,"{""label"": ""正面""}",True,2.74
37,成熟型酒店，房间、服务都还不错，商务房间，配液晶屏电脑，上网速度也很快。特别是没有一般经济型酒店的隔音差的问题。位置属于市中心，去各个地方都不远。不足：一出电梯，有一股怪味，是夏天潮气？好在房间里面没有。早餐地点太挤，品种一般。总的来讲，浙江饭店还不错，房间价格稍贵。如果便宜100元，就很有竞争力了。,正面,正面,"{""label"": ""正面""}",True,3.86
38,看了一半就看不下去了，后半本犹豫几次都放下没有继续看的激情，故事平淡的连个波折起伏都没有，职场里那点事儿也学得太模糊，没有具体描述，而且杜拉拉就做一个行政而已，是个人都会做的没有技术含量的工作 也能描写的这么有技术含量 真是为难作者了本来冲着畅销排行第一买来看看，觉得总不至于大部分人都没品味吧？结果证明这个残酷的事实，一本让人如同嚼蜡的“畅销书”......,负面,负面,"{""label"": ""负面""}",True,4.0
39,散热是个大问题，夏天很烫，建议其他用户安装个电池管理软件控制一下。拿回家我就卸开机器，查看了下内部做工，只能说一般，对的起这个价钱。,负面,负面,"{""label"": ""负面""}",True,2.7
40,地理位置对出差的人士来说还是很方便的，好找啊.,正面,正面,"{""label"": ""正面""}",True,2.27
41,"房间的格局在风水中属败相,卫生间马桶堵塞,无奈的一晚!!!",负面,负面,"{""label"": ""负面""}",True,2.29
42,我一直使用迪奥的化妆品20多年了，无论护肤品还是香水对我都非常喜欢。朋友们和同事公认我身后飘着很优雅的清香，甚至有不少年轻的小姑娘总要跟着我选购香水，但是她们不懂优雅，我不知道如何告诉她们何谓优雅，看到这本书，让我眼前一亮，这本书可以交给她们何谓优雅，如何优雅。如果看这本书的女生多了，优雅的女士会让今夏风光无限。我已经买了几本分送给几位朋友，颇受好评。,正面,正面,"{""label"": ""正面""}",True,4.01
43,如果选择周六日订货就只能在周四左右订，否则超过三天就要求用户取消订单重新订认为不人性化，应当是在10天内在用户的要求下都可以才好,负面,负面,"{""label"": ""负面""}",True,2.68
44,机器的上盖外表面是钢琴烤漆的，名副其实的指纹收集器，看来要弄个膜贴上！Vista的系统，比XP慢一些，但2G的内存，速度总体上来说还行！开机的时候光驱会响几下！只有一个纸箱子，只有一个C盘，不会分区！,负面,正面,"{""label"": ""正面""}",False,3.26
45,轻，薄，待机时间长，散热好，外观设计比较好看，铝合金上面板还是很好看的，键盘手感也可以。而且屏幕不仅很薄，而且还算结实，按背面屏幕没有明显的影响。加到3G内存，运行Vista速度还是一般，不过也有可能是我平时用的机器都太好了。准备装成XP估计就会好很多。 没有具体测试，但是待机时间6，7个小时还是可能的。,正面,正面,"{""label"": ""正面""}",True,3.96
46,就是这次的送货员态度有点不好，可能是因为忙吧，希望以后不管怎么，能好好说话,负面,负面,"{""label"": ""负面""}",True,2.68
47,1.电池时间长，普通使用5-6小时没问题，省点用可以到近7小时哦。这点很喜欢。 2.键盘比较舒服。 3.屏幕亮度还不错。,正面,正面,"{""label"": ""正面""}",True,2.91
48,我的宝宝是个女孩子，这本书是在她2.5岁时买的，因为我个人很喜欢这类自然科学的书，在网上搜索了相关类型的书，这套的评价不错，就买了，买之前我还担心孩子不会喜欢呢，没想到拿到书后回家给孩子看，她很喜欢，看了几遍，就记住了好多恐龙的名称，没事还蹦出来几个，让我高兴不已，同时也让我这个科普迷也加深了对相关知识的理解，既教育了孩子又充实了自己，真是一举两得啊。,正面,正面,"{""label"": ""正面""}",True,4.23
49,我家宝贝的爸爸长期在外工作，很少在家。宝宝一岁半了，他好像还没找到做爸爸的感觉。我买这本书就是想教宝宝要学会和爸爸相处，教他爸爸学一点“理论”，让他知道他这个爸爸的角色有多重要。结果，有效果。看到老公把宝宝搂在怀里，教宝宝用手指着图片和文字，念“我的爸爸象房子一样高，他真的真的好棒!”，然后两人学着书上的样子做鬼脸，我暗自得意，呵呵。。。,正面,正面,"{""label"": ""正面""}",True,4.36
50,太差了 是在没见过这样的4星级 下车没有门童帮着拿行李 房间没有冰箱 没有小吧台 没有保险柜 洗手间的水是黄色的 昨天晚上气温6度 房间没有热风 半夜被冻醒。 实在不知道4星是怎么得来的， 永远不会再去~！！,负面,负面,"{""label"": ""负面""}",True,3.54
51,选择的事例太离奇了，夸大了心理咨询的现实意义，让人失去了信任感！如果说这样写的效果能在一开始抓住读者的眼球，但是看到案例主人公心理问题的原因解释时就逐渐失去了兴趣，反正有点拣了芝麻丢了西瓜的感觉。,负面,负面,"{""label"": ""负面""}",True,2.98
52,这本书有别于以往看过的早教书籍，结合了说明文的写实，散文的情致和图册的一目了然。特别是读过几页后，会觉得这是一本放不下的书本。书中描述了很多常见的生活状态，以及各种状态下与子女沟通融洽的方式。未详尽处及由文本内容而延伸出的疑虑，在后文也有提及。给人感觉是一本智慧的书，了解家长的书。非常喜欢！,正面,正面,"{""label"": ""正面""}",True,3.79
53,"给孩子朗读的好处大家都知道,关键是如何读,读什么.书中举的例子都是国外的,没有中国孩子的读书名单.",负面,负面,"{""label"": ""负面""}",True,2.5
54,指示灯不明显，没有大小写指示灯，没有蓝牙指示灯，自带摄像头成像效果差,负面,负面,"{""label"": ""负面""}",True,2.45
55,性价比还是蛮高的，此本本在本地卖6999，前台优惠99元，估计找老板便宜个300~500就差不多了，京东的东东还真的便宜。,正面,正面,"{""label"": ""正面""}",True,2.89
56,系统vista需要适应好长时间，没有预装office。所赠送的软件礼包其实不是免费的，诺顿才90天的使用期。机子重了点，厚了点。,负面,负面,"{""label"": ""负面""}",True,2.84
57,"散热口温度蛮高的,不过我摸过,底部温度还可以,可能热量基本及时散出去了的原因,没附系统盘,装系统要纯净版的,否则装不上,没XP的驱动盘,要从三星网站上下.但有VISTA的驱动.",负面,正面,"{""label"": ""正面""}",False,3.04
58,用了一张2000-100，价格很不错了 。 16：9 的屏幕，看个人喜好，看电影还好，网页两边有空白。 显示质量很好,正面,正面,"{""label"": ""正面""}",True,2.72
59,看完后不仅对中国以前以及现在所在进行的改革有了新的认识，同时也对社会和生活在这个社会中的人有了新的启发。很多事情不是我们所左右的了的，时代造就了很多英雄，同样也湮没了很多人，我们生活在这个时代，这个社会中，最应该学会的就是顺应时势！不管你做的是惊天动地的大事，还是过自己安稳的小日子，要想过的好都不要违背时代发展的趋势！,正面,正面,"{""label"": ""正面""}",True,3.67
60,"房间不错,只是上网速度慢得无法忍受,打开一个网页要等半小时,连邮件都无法收。另前台工作人员服务态度是很好，只是效率有得改善。",正面,负面,"{""label"": ""负面""}",False,2.73
